Station,time,Latitude,GFF mean,stdev,> 10 mm,stdev,2-10 mm,stdev,0.2-2.0 mm,stdev,sum fract,stdev,GFF fract
UW1,4/10/19,22.2,8.205,0.145,0.578,0.045,1.408,0.08,2.238,0.187,4.22,0.22,0.485667909
UW5,4/11/19,25.78,7.7,0.273,0.472,0.045,0.926,0.071,2.541,0.101,3.94,0.05,0.488305869
UW9,4/12/19,29.35,5.05,0.155,0.304,0.024,0.563,0.017,1.804,0.187,2.67,0.22,0.471287471
UW13,4/13/19,32.19,4.38,0.559,0.45,0.083,0.613,0.126,1.404,0.077,2.47,0.27,0.436011502
UW20,4/14/19,35.83,11.596,0.067,0.373,0.009,1.482,0.141,3.785,0.165,5.64,0.25,0.513635856
UW25,4/15/19,38.87,28.923,1.514,2.274,0.11,5.424,1.207,5.473,1.724,13.17,0.61,0.544658602
UW30,4/16/19,41.67,24.573,1.875,1.949,0.167,5.197,0.712,5.663,0.52,12.81,1.16,0.478694565
UW31,4/17/19,41.62,17.151,1.762,1.537,0.082,3.641,0.459,3.118,0.581,8.3,1.1,0.516063515
UW32,4/18/19,41.59,14.445,2.027,1.326,0.13,3.233,0.51,2.885,0.358,7.44,0.97,0.484926482
UW 34,4/20/19,37,14.6,0.777,0.354,0.045,1.643,0.246,4.583,1.217,6.58,1.21,0.549314217
UW 35,4/21/19,33.71,4.315,0.346,0.354,0.045,0.551,0.041,1.557,0.111,2.46,0.14,0.429889369
UW36,4/22/19,32.93,4.344,0.351,0.307,0.03,0.683,0.064,1.305,0.118,2.3,0.17,0.470585104
UW37,4/23/19,36.3,11.699,0.259,0.533,0.002,1.34,0.113,4.411,0.406,6.28,0.47,0.463209284
UW38,4/24/19,40.75,28.254,1.85,2.693,0.271,7.718,0.32,4.248,0.278,14.66,0.32,0.481142135
UW43,4/25/19,40.29,16.33,0.608,1.847,0.145,2.845,0.101,3.069,0.492,7.76,0.45,0.524788537
UW51,4/26/19,35.98,4.825,0.045,0.36,0.014,0.407,0.035,2.356,0.171,3.12,0.15,0.353406979
